accident_severity,time,day_of_week,road_surface_type,light_conditions,weather_conditions,type_of_collision,area_accident_occured
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,17:10:00,Tuesday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision, Church areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,16:46:00,Thursday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,18:09:00,Monday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,9:15:00,Tuesday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,School areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Collision with roadside objects,Unknown
2.0,20:00:00,Friday,Asphalt roads,Darkness - lights lit,Cloudy,Collision with roadside objects,School areas
2.0,Unknown,Unknown,Other,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,1:59:00,Monday,Other,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Collision with pedestrians,Unknown
2.0,16:13:00,Wednesday,Asphalt roads,Darkness - lights lit,Cloudy,Collision with pedestrians,Office areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,16:13:00,Wednesday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,18:10:00,Tuesday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Rural village areasOffice areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,Unknown
2.0,22:05:00,Monday,Asphalt roads,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Collision with roadside objects,Unknown
2.0,15:30:00,Saturday,Asphalt roads,Daylight,Cloudy,Collision with roadside objects, Industrial areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,1:25:00,Saturday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision, Church areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,15:20:00,Saturday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,Unknown
2.0,22:25:00,Thursday,Asphalt roads,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Unknown,Unknown
2.0,17:44:00,Thursday,Asphalt roads,Darkness - lights lit,Cloudy,, Church areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Collision with pedestrians,Unknown
2.0,13:50:00,Saturday,Asphalt roads,Daylight,Cloudy,Collision with pedestrians,Rural village areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,1:25:00,Saturday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,18:49:00,Thursday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,17:10:00,Tuesday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,15:31:00,Monday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
