age_band_of_driver,sex_of_driver,educational_level,driving_experience,vehicle_driver_relation
31-50,Male,Junior high school,2-5yr,Owner
31-50,Male,Junior high school,2-5yr,Owner
18-30,Male,Junior high school,2-5yr,Owner
18-30,Male,Junior high school,2-5yr,Owner
18-30,Male,Junior high school,5-10yr,Owner
18-30,Male,Junior high school,5-10yr,Owner
18-30,Male,Junior high school,Below 1yr,Owner
18-30,Male,Junior high school,Below 1yr,Owner
18-30,Male,Junior high school,Above 10yr,Owner
18-30,Male,Junior high school,Above 10yr,Owner
18-30,Male,Junior high school,2-5yr,Owner
18-30,Male,Junior high school,2-5yr,Owner
18-30,Male,Junior high school,5-10yr,Owner
18-30,Male,Junior high school,5-10yr,Owner
18-30,Male,Junior high school,5-10yr,Owner
18-30,Male,Junior high school,5-10yr,Owner
18-30,Male,Junior high school,1-2yr,Owner
18-30,Male,Junior high school,1-2yr,Owner
31-50,Male,Junior high school,2-5yr,Owner
31-50,Male,Junior high school,2-5yr,Owner
31-50,Male,Junior high school,5-10yr,Owner
31-50,Male,Junior high school,5-10yr,Owner
31-50,Male,Junior high school,Above 10yr,Owner
31-50,Male,Junior high school,Above 10yr,Owner
31-50,Male,Junior high school,5-10yr,Owner
31-50,Male,Junior high school,5-10yr,Owner
31-50,Male,Junior high school,2-5yr,Owner
31-50,Male,Junior high school,2-5yr,Owner
31-50,Male,Junior high school,Above 10yr,Owner
31-50,Male,Junior high school,Above 10yr,Owner
31-50,Male,Junior high school,5-10yr,Owner
31-50,Male,Junior high school,5-10yr,Owner
31-50,Male,Junior high school,5-10yr,Owner
31-50,Male,Junior high school,5-10yr,Owner
31-50,Male,Junior high school,5-10yr,Owner
31-50,Male,Junior high school,5-10yr,Owner
31-50,Male,Junior high school,5-10yr,Owner
31-50,Male,Junior high school,5-10yr,Owner
31-50,Male,Junior high school,2-5yr,Owner
31-50,Male,Junior high school,2-5yr,Owner
31-50,Male,Junior high school,Below 1yr,Owner
31-50,Male,Junior high school,Below 1yr,Owner
31-50,Male,Junior high school,Below 1yr,Owner
31-50,Male,Junior high school,Below 1yr,Owner
31-50,Male,Junior high school,5-10yr,Owner
31-50,Male,Junior high school,5-10yr,Owner
31-50,Male,Junior high school,2-5yr,Owner
31-50,Male,Junior high school,2-5yr,Owner
31-50,Male,Junior high school,5-10yr,Owner
31-50,Male,Junior high school,5-10yr,Owner
Over 51,Male,Junior high school,5-10yr,Owner
Over 51,Male,Junior high school,5-10yr,Owner
Over 51,Male,Junior high school,1-2yr,Owner
Over 51,Male,Junior high school,1-2yr,Owner
Over 51,Male,Junior high school,5-10yr,Owner
Over 51,Male,Junior high school,5-10yr,Owner
Over 51,Male,Junior high school,2-5yr,Owner
Over 51,Male,Junior high school,2-5yr,Owner
Over 51,Male,Junior high school,5-10yr,Owner
Over 51,Male,Junior high school,5-10yr,Owner
Over 51,Male,Junior high school,1-2yr,Owner
Over 51,Male,Junior high school,1-2yr,Owner
Under 18,Male,Junior high school,Below 1yr,Owner
Under 18,Male,Junior high school,Below 1yr,Owner
Under 18,Male,Junior high school,2-5yr,Owner
Under 18,Male,Junior high school,2-5yr,Owner
Unknown,Male,Junior high school,Above 10yr,Owner
Unknown,Male,Junior high school,Above 10yr,Owner
Unknown,Male,Junior high school,Above 10yr,Owner
Unknown,Male,Junior high school,Above 10yr,Owner
Unknown,Male,Junior high school,Unknown,Owner
Unknown,Male,Junior high school,,Owner
Unknown,Male,Junior high school,5-10yr,Owner
Unknown,Male,Junior high school,5-10yr,Owner
18-30,Male,Junior high school,Above 10yr,Owner
18-30,Male,Junior high school,Above 10yr,Owner
31-50,Male,Junior high school,5-10yr,Owner
31-50,Male,Junior high school,5-10yr,Owner
31-50,Male,Junior high school,2-5yr,Owner
31-50,Male,Junior high school,2-5yr,Owner
Unknown,Male,Junior high school,5-10yr,Owner
Unknown,Male,Junior high school,5-10yr,Owner
18-30,Male,Junior high school,Below 1yr,Owner
18-30,Male,Junior high school,Below 1yr,Owner
18-30,Male,Junior high school,5-10yr,Owner
18-30,Male,Junior high school,5-10yr,Owner
18-30,Male,Junior high school,1-2yr,Owner
18-30,Male,Junior high school,1-2yr,Owner
18-30,Male,Junior high school,5-10yr,Owner
18-30,Male,Junior high school,5-10yr,Owner
18-30,Male,Junior high school,Below 1yr,Owner
18-30,Male,Junior high school,1-2yr,Owner
18-30,Male,Junior high school,2-5yr,Owner
18-30,Male,Junior high school,Below 1yr,Owner
18-30,Male,Junior high school,Above 10yr,Owner
18-30,Male,Junior high school,Above 10yr,Owner
31-50,Male,Junior high school,Below 1yr,Owner
31-50,Male,Junior high school,Below 1yr,Owner
31-50,Male,Junior high school,5-10yr,Owner
31-50,Male,Junior high school,1-2yr,Owner
31-50,Male,Junior high school,5-10yr,Owner
31-50,Male,Junior high school,5-10yr,Owner
31-50,Male,Junior high school,5-10yr,Owner
31-50,Male,Junior high school,1-2yr,Owner
31-50,Male,Junior high school,1-2yr,Owner
Over 51,Male,Junior high school,2-5yr,Owner
Over 51,Male,Junior high school,1-2yr,Owner
Over 51,Male,Junior high school,5-10yr,Owner
Over 51,Male,Junior high school,5-10yr,Owner
Unknown,Male,Junior high school,Below 1yr,Owner
Unknown,Female,Junior high school,Above 10yr,Owner
Unknown,Male,Junior high school,Below 1yr,Owner
Unknown,Male,Junior high school,Below 1yr,Owner
18-30,Male,Junior high school,1-2yr,Owner
18-30,Male,Junior high school,1-2yr,Owner
18-30,Male,Junior high school,Above 10yr,Owner
18-30,Male,Junior high school,Above 10yr,Owner
18-30,Male,Junior high school,Below 1yr,Owner
18-30,Male,Junior high school,Below 1yr,Owner
18-30,Male,Junior high school,5-10yr,Owner
18-30,Male,Junior high school,5-10yr,Owner
18-30,Male,Junior high school,5-10yr,Owner
18-30,Male,Junior high school,5-10yr,Owner
18-30,Male,Junior high school,Below 1yr,Owner
18-30,Male,Junior high school,1-2yr,Owner
18-30,Male,Junior high school,2-5yr,Owner
18-30,Male,Junior high school,Below 1yr,Owner
31-50,Male,Junior high school,5-10yr,Owner
31-50,Male,Junior high school,1-2yr,Owner
31-50,Male,Junior high school,5-10yr,Owner
31-50,Male,Junior high school,1-2yr,Owner
31-50,Male,Junior high school,1-2yr,Owner
Over 51,Male,Junior high school,2-5yr,Owner
Over 51,Male,Junior high school,1-2yr,Owner
Over 51,Male,Junior high school,5-10yr,Owner
Over 51,Male,Junior high school,5-10yr,Owner
Unknown,Male,Junior high school,Below 1yr,Owner
Unknown,Female,Junior high school,Above 10yr,Owner
31-50,Male,Junior high school,5-10yr,Unknown
18-30,Male,Junior high school,1-2yr,Unknown
18-30,Male,Junior high school,Below 1yr,Unknown
18-30,Male,Junior high school,1-2yr,Unknown
18-30,Male,Junior high school,5-10yr,Unknown
18-30,Male,Junior high school,1-2yr,Unknown
18-30,Male,Junior high school,Unknown,Unknown
18-30,Male,Junior high school,Unknown,Unknown
18-30,Male,Junior high school,Unknown,Unknown
18-30,Male,Junior high school,1-2yr,Unknown
18-30,Male,Junior high school,1-2yr,Unknown
18-30,Male,Junior high school,Unknown,Unknown
18-30,Male,Junior high school,Below 1yr,Unknown
31-50,Male,Junior high school,Below 1yr,Unknown
31-50,Male,Junior high school,5-10yr,Unknown
31-50,Male,Junior high school,5-10yr,Unknown
31-50,Male,Junior high school,5-10yr,Unknown
31-50,Male,Junior high school,1-2yr,Unknown
31-50,Male,Junior high school,5-10yr,Unknown
31-50,Male,Junior high school,5-10yr,Unknown
31-50,Male,Junior high school,1-2yr,Unknown
31-50,Male,Junior high school,1-2yr,Unknown
31-50,Male,Junior high school,Unknown,Unknown
31-50,Male,Junior high school,,Unknown
31-50,Male,Junior high school,1-2yr,Unknown
31-50,Male,Junior high school,Below 1yr,Unknown
31-50,Male,Junior high school,5-10yr,Unknown
31-50,Male,Junior high school,1-2yr,Unknown
31-50,Male,Junior high school,1-2yr,Unknown
31-50,Male,Junior high school,5-10yr,Unknown
31-50,Male,Junior high school,5-10yr,Unknown
31-50,Male,Junior high school,Below 1yr,Unknown
31-50,Male,Junior high school,5-10yr,Unknown
31-50,Male,Junior high school,1-2yr,Unknown
31-50,Male,Junior high school,Below 1yr,Unknown
31-50,Male,Junior high school,Below 1yr,Unknown
31-50,Male,Junior high school,Below 1yr,Unknown
Over 51,Male,Junior high school,5-10yr,Unknown
Over 51,Male,Junior high school,Below 1yr,Unknown
Over 51,Male,Junior high school,1-2yr,Unknown
Over 51,Female,Junior high school,Below 1yr,Unknown
Over 51,Male,Junior high school,Below 1yr,Unknown
Over 51,Male,Junior high school,Below 1yr,Unknown
Over 51,Male,Junior high school,Below 1yr,Unknown
Over 51,Male,Junior high school,1-2yr,Unknown
Over 51,Male,Junior high school,Below 1yr,Unknown
Under 18,Male,Junior high school,5-10yr,Unknown
Under 18,Male,Junior high school,Below 1yr,Unknown
Under 18,Male,Junior high school,Below 1yr,Unknown
Under 18,Male,Junior high school,Below 1yr,Unknown
Unknown,Female,Junior high school,5-10yr,Unknown
Unknown,Female,Junior high school,1-2yr,Unknown
Unknown,Female,Junior high school,5-10yr,Unknown
Unknown,Male,Junior high school,Below 1yr,Unknown
Unknown,Male,Junior high school,Below 1yr,Unknown
Unknown,Male,Junior high school,5-10yr,Unknown
Unknown,Male,Junior high school,1-2yr,Unknown
Unknown,Male,Junior high school,Below 1yr,Unknown
Unknown,Male,Junior high school,Below 1yr,Unknown
Unknown,Female,Junior high school,Below 1yr,Unknown
Unknown,Female,Junior high school,Below 1yr,Unknown
Unknown,Male,Junior high school,Below 1yr,Unknown
18-30,Male,Junior high school,5-10yr,Unknown
31-50,Male,Junior high school,5-10yr,Unknown
Over 51,Male,Junior high school,Unknown,Unknown
18-30,Male,Junior high school,Below 1yr,Unknown
18-30,Male,Junior high school,Below 1yr,Unknown
18-30,Male,Junior high school,5-10yr,Unknown
18-30,Male,Junior high school,Below 1yr,Unknown
31-50,Male,Junior high school,1-2yr,Unknown
31-50,Male,Junior high school,5-10yr,Unknown
18-30,Male,Junior high school,Unknown,Unknown
31-50,Male,Junior high school,Below 1yr,Unknown
31-50,Male,Junior high school,5-10yr,
18-30,Male,Junior high school,1-2yr,
18-30,Male,Junior high school,Below 1yr,
18-30,Male,Junior high school,1-2yr,
18-30,Male,Junior high school,5-10yr,
18-30,Male,Junior high school,1-2yr,
18-30,Male,Junior high school,,
18-30,Male,Junior high school,,
18-30,Male,Junior high school,,
18-30,Male,Junior high school,1-2yr,
18-30,Male,Junior high school,1-2yr,
18-30,Male,Junior high school,,
18-30,Male,Junior high school,Below 1yr,
31-50,Male,Junior high school,Below 1yr,
31-50,Male,Junior high school,5-10yr,
31-50,Male,Junior high school,1-2yr,
31-50,Male,Junior high school,5-10yr,
31-50,Male,Junior high school,1-2yr,
31-50,Male,Junior high school,1-2yr,
31-50,Male,Junior high school,1-2yr,
31-50,Male,Junior high school,Below 1yr,
31-50,Male,Junior high school,5-10yr,
31-50,Male,Junior high school,5-10yr,
31-50,Male,Junior high school,1-2yr,
31-50,Male,Junior high school,1-2yr,
31-50,Male,Junior high school,5-10yr,
31-50,Male,Junior high school,5-10yr,
31-50,Male,Junior high school,Below 1yr,
31-50,Male,Junior high school,5-10yr,
31-50,Male,Junior high school,Below 1yr,
31-50,Male,Junior high school,Below 1yr,
31-50,Male,Junior high school,1-2yr,
31-50,Male,Junior high school,Below 1yr,
Over 51,Male,Junior high school,5-10yr,
Over 51,Male,Junior high school,Below 1yr,
Over 51,Male,Junior high school,1-2yr,
Over 51,Female,Junior high school,Below 1yr,
Over 51,Male,Junior high school,Below 1yr,
Over 51,Male,Junior high school,Below 1yr,
Over 51,Male,Junior high school,Below 1yr,
Over 51,Male,Junior high school,Below 1yr,
Over 51,Male,Junior high school,1-2yr,
Under 18,Male,Junior high school,5-10yr,
Under 18,Male,Junior high school,Below 1yr,
Under 18,Male,Junior high school,Below 1yr,
Under 18,Male,Junior high school,Below 1yr,
Unknown,Female,Junior high school,5-10yr,
Unknown,Female,Junior high school,1-2yr,
Unknown,Female,Junior high school,5-10yr,
Unknown,Male,Junior high school,Below 1yr,
Unknown,Male,Junior high school,Below 1yr,
Unknown,Male,Junior high school,5-10yr,
Unknown,Male,Junior high school,1-2yr,
Unknown,Male,Junior high school,Below 1yr,
Unknown,Male,Junior high school,Below 1yr,
Unknown,Male,Junior high school,Below 1yr,
18-30,Male,Junior high school,5-10yr,
31-50,Male,Junior high school,5-10yr,
Over 51,Male,Junior high school,,
18-30,Male,Junior high school,Below 1yr,
18-30,Male,Junior high school,Below 1yr,
18-30,Male,Junior high school,5-10yr,
18-30,Male,Junior high school,Below 1yr,
31-50,Male,Junior high school,1-2yr,
31-50,Male,Junior high school,5-10yr,
18-30,Male,Junior high school,,
31-50,Male,Junior high school,Below 1yr,
18-30,Male,Unknown,5-10yr,Employee
31-50,Male,Unknown,Above 10yr,Employee
31-50,Male,Unknown,Above 10yr,Employee
18-30,Male,Unknown,5-10yr,Employee
18-30,Male,Unknown,unknown,Employee
18-30,Male,Unknown,5-10yr,Employee
18-30,Male,Unknown,1-2yr,Employee
18-30,Male,Unknown,Unknown,Employee
18-30,Male,Unknown,5-10yr,Employee
18-30,Male,Unknown,2-5yr,Employee
18-30,Male,Unknown,Unknown,Employee
18-30,Male,Unknown,5-10yr,Employee
18-30,Male,Unknown,1-2yr,Employee
18-30,Male,Unknown,5-10yr,Employee
18-30,Male,Unknown,unknown,Employee
18-30,Male,Unknown,Below 1yr,Employee
18-30,Male,Unknown,Below 1yr,Employee
18-30,Male,Unknown,Above 10yr,Employee
18-30,Male,Unknown,Above 10yr,Employee
18-30,Male,Unknown,5-10yr,Employee
18-30,Male,Unknown,Unknown,Employee
18-30,Male,Unknown,5-10yr,Employee
18-30,Male,Unknown,5-10yr,Employee
18-30,Male,Unknown,Below 1yr,Employee
18-30,Male,Unknown,Below 1yr,Employee
18-30,Male,Unknown,2-5yr,Employee
18-30,Male,Unknown,1-2yr,Employee
18-30,Male,Unknown,5-10yr,Employee
18-30,Male,Unknown,unknown,Employee
18-30,Male,Unknown,5-10yr,Employee
18-30,Male,Unknown,Unknown,Employee
18-30,Male,Unknown,5-10yr,Employee
18-30,Male,Unknown,5-10yr,Employee
18-30,Female,Unknown,Below 1yr,Employee
18-30,Female,Unknown,Below 1yr,Employee
18-30,Male,Unknown,5-10yr,Employee
18-30,Male,Unknown,5-10yr,Employee
18-30,Male,Unknown,5-10yr,Employee
18-30,Male,Unknown,1-2yr,Employee
18-30,Male,Unknown,5-10yr,Employee
18-30,Male,Unknown,Unknown,Employee
18-30,Male,Unknown,1-2yr,Employee
18-30,Male,Unknown,5-10yr,Employee
18-30,Male,Unknown,5-10yr,Employee
18-30,Male,Unknown,5-10yr,Employee
18-30,Male,Unknown,5-10yr,Employee
31-50,Male,Unknown,5-10yr,Employee
31-50,Male,Unknown,5-10yr,Employee
31-50,Male,Unknown,5-10yr,Employee
31-50,Male,Unknown,1-2yr,Employee
31-50,Male,Unknown,Unknown,Employee
31-50,Male,Unknown,2-5yr,Employee
31-50,Male,Unknown,5-10yr,Employee
31-50,Male,Unknown,5-10yr,Employee
31-50,Female,Unknown,Unknown,Employee
31-50,Male,Unknown,5-10yr,Employee
31-50,Male,Unknown,Unknown,Employee
31-50,Male,Unknown,5-10yr,Employee
31-50,Male,Unknown,Above 10yr,Employee
31-50,Male,Unknown,Above 10yr,Employee
31-50,Male,Unknown,1-2yr,Employee
31-50,Male,Unknown,5-10yr,Employee
31-50,Male,Unknown,Below 1yr,Employee
31-50,Male,Unknown,Below 1yr,Employee
31-50,Male,Unknown,5-10yr,Employee
31-50,Male,Unknown,Unknown,Employee
31-50,Male,Unknown,unknown,Employee
31-50,Male,Unknown,5-10yr,Employee
31-50,Male,Unknown,1-2yr,Employee
31-50,Male,Unknown,5-10yr,Employee
31-50,Male,Unknown,Above 10yr,Employee
31-50,Male,Unknown,Above 10yr,Employee
31-50,Male,Unknown,Unknown,Employee
31-50,Male,Unknown,2-5yr,Employee
31-50,Male,Unknown,5-10yr,Employee
31-50,Male,Unknown,5-10yr,Employee
31-50,Male,Unknown,2-5yr,Employee
31-50,Male,Unknown,Unknown,Employee
31-50,Male,Unknown,Below 1yr,Employee
31-50,Male,Unknown,Below 1yr,Employee
31-50,Male,Unknown,Below 1yr,Employee
31-50,Male,Unknown,Above 10yr,Employee
31-50,Male,Unknown,Below 1yr,Employee
31-50,Male,Unknown,Below 1yr,Employee
31-50,Male,Unknown,1-2yr,Employee
31-50,Male,Unknown,5-10yr,Employee
31-50,Male,Unknown,Below 1yr,Employee
31-50,Male,Unknown,Above 10yr,Employee
31-50,Male,Unknown,5-10yr,Employee
31-50,Male,Unknown,Below 1yr,Employee
31-50,Male,Unknown,Below 1yr,Employee
31-50,Male,Unknown,1-2yr,Employee
Over 51,Male,Unknown,Above 10yr,Employee
Over 51,Male,Unknown,Above 10yr,Employee
Over 51,Male,Unknown,1-2yr,Employee
Over 51,Male,Unknown,Unknown,Employee
Over 51,Male,Unknown,Unknown,Employee
Over 51,Male,Unknown,2-5yr,Employee
Over 51,Male,Unknown,1-2yr,Employee
Over 51,Male,Unknown,1-2yr,Employee
Over 51,Male,Unknown,unknown,Employee
Over 51,Male,Unknown,5-10yr,Employee
Over 51,Male,Unknown,Unknown,Employee
Over 51,Male,Unknown,Above 10yr,Employee
Over 51,Male,Unknown,Above 10yr,Employee
Over 51,Male,Unknown,Below 1yr,Employee
Over 51,Male,Unknown,Below 1yr,Employee
Over 51,Male,Unknown,5-10yr,Employee
Over 51,Male,Unknown,Below 1yr,Employee
Over 51,Male,Unknown,Unknown,Employee
Over 51,Male,Unknown,Below 1yr,Employee
Under 18,Male,Unknown,Below 1yr,Employee
Under 18,Male,Unknown,Below 1yr,Employee
Under 18,Male,Unknown,Above 10yr,Employee
Under 18,Male,Unknown,Above 10yr,Employee
Under 18,Male,Unknown,Below 1yr,Employee
Under 18,Male,Unknown,Below 1yr,Employee
Under 18,Male,Unknown,5-10yr,Employee
Under 18,Male,Unknown,5-10yr,Employee
Unknown,Male,Unknown,Unknown,Employee
Unknown,Male,Unknown,Unknown,Employee
Unknown,Female,Unknown,Below 1yr,Employee
Unknown,Female,Unknown,Below 1yr,Employee
Unknown,Male,Unknown,unknown,Employee
Unknown,Male,Unknown,2-5yr,Employee
Unknown,Male,Unknown,1-2yr,Employee
Unknown,Female,Unknown,5-10yr,Employee
Unknown,Male,Unknown,5-10yr,Employee
Unknown,Female,Unknown,2-5yr,Employee
Unknown,Male,Unknown,2-5yr,Employee
Unknown,Male,Unknown,2-5yr,Employee
18-30,Male,Unknown,5-10yr,Employee
18-30,Male,Unknown,5-10yr,Employee
18-30,Male,Unknown,Below 1yr,Employee
18-30,Male,Unknown,Unknown,Employee
18-30,Male,Unknown,Below 1yr,Employee
31-50,Male,Unknown,5-10yr,Employee
31-50,Male,Unknown,5-10yr,Employee
Over 51,Male,Unknown,2-5yr,Employee
Unknown,Female,Unknown,5-10yr,Employee
18-30,Male,Unknown,Below 1yr,Employee
18-30,Male,Unknown,Below 1yr,Employee
18-30,Male,Unknown,5-10yr,Employee
18-30,Male,Unknown,1-2yr,Employee
18-30,Male,Unknown,1-2yr,Employee
18-30,Male,Unknown,unknown,Employee
31-50,Male,Unknown,5-10yr,Employee
31-50,Male,Unknown,Above 10yr,Employee
31-50,Male,Unknown,Above 10yr,Employee
31-50,Male,Unknown,Above 10yr,Employee
31-50,Male,Unknown,Above 10yr,Employee
31-50,Male,Unknown,2-5yr,Employee
31-50,Unknown,Unknown,5-10yr,Employee
31-50,Male,Unknown,5-10yr,Employee
31-50,Male,Unknown,5-10yr,Employee
Under 18,Male,Unknown,Unknown,Employee
Unknown,Female,Unknown,5-10yr,Employee
Unknown,Male,Unknown,Below 1yr,Employee
Unknown,Male,Unknown,Below 1yr,Employee
18-30,Male,Unknown,2-5yr,Employee
18-30,Male,Unknown,Unknown,Employee
18-30,Male,Unknown,1-2yr,Employee
31-50,Male,Unknown,5-10yr,Employee
18-30,Male,Unknown,Below 1yr,Employee
18-30,Male,Unknown,Below 1yr,Employee
18-30,Male,Unknown,Unknown,Employee
18-30,Male,Unknown,5-10yr,Employee
18-30,Male,Unknown,5-10yr,Employee
18-30,Male,Unknown,Below 1yr,Employee
18-30,Male,Unknown,Below 1yr,Employee
18-30,Male,Unknown,1-2yr,Employee
31-50,Male,Unknown,Below 1yr,Employee
31-50,Male,Unknown,Below 1yr,Employee
31-50,Male,Unknown,5-10yr,Employee
31-50,Male,Unknown,5-10yr,Employee
Under 18,Male,Unknown,5-10yr,Employee
Unknown,Male,Unknown,Unknown,Employee
Unknown,Female,Unknown,Below 1yr,Employee
Unknown,Female,Unknown,Below 1yr,Employee
31-50,Male,Unknown,unknown,Employee
Unknown,Male,Unknown,Unknown,Employee
18-30,Male,Unknown,Unknown,Other
18-30,Male,Unknown,,Other
18-30,Male,Unknown,Unknown,Other
18-30,Male,Unknown,,Other
31-50,Male,Unknown,Unknown,Other
31-50,Male,Unknown,,Other
31-50,Male,Unknown,Unknown,Other
31-50,Male,Unknown,Unknown,Other
31-50,Male,Unknown,,Other
31-50,Male,Unknown,,Other
31-50,Male,Unknown,Unknown,Other
31-50,Male,Unknown,,Other
Over 51,Male,Unknown,Unknown,Other
Over 51,Male,Unknown,,Other
Over 51,Male,Unknown,Unknown,Other
Over 51,Male,Unknown,,Other
Over 51,Male,Unknown,Unknown,Other
Over 51,Male,Unknown,,Other
18-30,Male,Unknown,Unknown,Other
18-30,Male,Unknown,,Other
18-30,Male,Unknown,Unknown,Owner
18-30,Male,Unknown,Unknown,Owner
31-50,Male,Unknown,Unknown,Owner
31-50,Male,Unknown,Above 10yr,Owner
31-50,Male,Unknown,Above 10yr,Owner
31-50,Male,Unknown,Unknown,Owner
Unknown,Male,Unknown,Unknown,Owner
18-30,Male,Unknown,5-10yr,Owner
18-30,Male,Unknown,Above 10yr,Owner
18-30,Male,Unknown,Above 10yr,Owner
18-30,Male,Unknown,Unknown,Owner
18-30,Male,Unknown,Above 10yr,Owner
18-30,Male,Unknown,Above 10yr,Owner
18-30,Male,Unknown,5-10yr,Owner
18-30,Male,Unknown,5-10yr,Owner
18-30,Male,Unknown,Below 1yr,Owner
18-30,Male,Unknown,5-10yr,Owner
18-30,Male,Unknown,Unknown,Owner
18-30,Male,Unknown,Below 1yr,Owner
18-30,Male,Unknown,Below 1yr,Owner
18-30,Male,Unknown,Above 10yr,Owner
18-30,Male,Unknown,Above 10yr,Owner
18-30,Male,Unknown,Unknown,Owner
18-30,Male,Unknown,Above 10yr,Owner
18-30,Male,Unknown,Above 10yr,Owner
18-30,Male,Unknown,5-10yr,Owner
18-30,Male,Unknown,5-10yr,Owner
18-30,Male,Unknown,Below 1yr,Owner
18-30,Male,Unknown,5-10yr,Owner
18-30,Male,Unknown,5-10yr,Owner
18-30,Male,Unknown,Unknown,Owner
18-30,Male,Unknown,Unknown,Owner
18-30,Male,Unknown,Unknown,Owner
18-30,Male,Unknown,5-10yr,Owner
18-30,Male,Unknown,5-10yr,Owner
18-30,Male,Unknown,5-10yr,Owner
18-30,Male,Unknown,5-10yr,Owner
18-30,Male,Unknown,Above 10yr,Owner
18-30,Male,Unknown,Above 10yr,Owner
18-30,Male,Unknown,Unknown,Owner
18-30,Male,Unknown,Below 1yr,Owner
18-30,Male,Unknown,5-10yr,Owner
31-50,Male,Unknown,Below 1yr,Owner
31-50,Male,Unknown,Above 10yr,Owner
31-50,Male,Unknown,Above 10yr,Owner
31-50,Male,Unknown,5-10yr,Owner
31-50,Male,Unknown,Above 10yr,Owner
31-50,Male,Unknown,Above 10yr,Owner
31-50,Male,Unknown,Above 10yr,Owner
31-50,Male,Unknown,Above 10yr,Owner
31-50,Male,Unknown,Below 1yr,Owner
31-50,Male,Unknown,5-10yr,Owner
31-50,Male,Unknown,5-10yr,Owner
31-50,Male,Unknown,5-10yr,Owner
31-50,Male,Unknown,Unknown,Owner
31-50,Male,Unknown,5-10yr,Owner
31-50,Male,Unknown,Unknown,Owner
31-50,Male,Unknown,Below 1yr,Owner
31-50,Male,Unknown,Below 1yr,Owner
31-50,Male,Unknown,5-10yr,Owner
31-50,Male,Unknown,5-10yr,Owner
31-50,Male,Unknown,5-10yr,Owner
31-50,Male,Unknown,5-10yr,Owner
31-50,Male,Unknown,Below 1yr,Owner
31-50,Male,Unknown,Above 10yr,Owner
31-50,Male,Unknown,Above 10yr,Owner
31-50,Male,Unknown,Unknown,Owner
31-50,Male,Unknown,Unknown,Owner
31-50,Male,Unknown,5-10yr,Owner
31-50,Male,Unknown,Unknown,Owner
31-50,Male,Unknown,Unknown,Owner
31-50,Male,Unknown,Below 1yr,Owner
31-50,Male,Unknown,Below 1yr,Owner
31-50,Male,Unknown,Unknown,Owner
31-50,Male,Unknown,Below 1yr,Owner
31-50,Male,Unknown,5-10yr,Owner
31-50,Male,Unknown,5-10yr,Owner
31-50,Male,Unknown,5-10yr,Owner
Over 51,Male,Unknown,5-10yr,Owner
Over 51,Male,Unknown,5-10yr,Owner
Over 51,Male,Unknown,Unknown,Owner
Over 51,Male,Unknown,5-10yr,Owner
Over 51,Male,Unknown,5-10yr,Owner
Over 51,Male,Unknown,5-10yr,Owner
Over 51,Male,Unknown,5-10yr,Owner
Over 51,Male,Unknown,Below 1yr,Owner
Over 51,Male,Unknown,Unknown,Owner
Over 51,Male,Unknown,Unknown,Owner
Over 51,Male,Unknown,Unknown,Owner
Over 51,Male,Unknown,5-10yr,Owner
Over 51,Male,Unknown,Above 10yr,Owner
Over 51,Male,Unknown,Above 10yr,Owner
Under 18,Male,Unknown,Unknown,Owner
Under 18,Male,Unknown,5-10yr,Owner
Under 18,Male,Unknown,Below 1yr,Owner
Under 18,Male,Unknown,Unknown,Owner
Under 18,Male,Unknown,5-10yr,Owner
Under 18,Male,Unknown,Below 1yr,Owner
Unknown,Male,Unknown,Unknown,Owner
Unknown,Male,Unknown,Unknown,Owner
Unknown,Male,Unknown,5-10yr,Owner
Unknown,Male,Unknown,5-10yr,Owner
Unknown,Female,Unknown,5-10yr,Owner
Unknown,Female,Unknown,5-10yr,Owner
Unknown,Female,Unknown,Unknown,Owner
Unknown,Male,Unknown,Unknown,Owner
Unknown,Male,Unknown,Unknown,Owner
Unknown,Male,Unknown,Above 10yr,Owner
Unknown,Male,Unknown,Above 10yr,Owner
Unknown,Male,Unknown,Below 1yr,Owner
Unknown,Male,Unknown,Below 1yr,Owner
Unknown,Male,Unknown,Below 1yr,Owner
Unknown,Female,Unknown,Below 1yr,Owner
18-30,Male,Unknown,5-10yr,Owner
18-30,Male,Unknown,Unknown,Owner
31-50,Male,Unknown,5-10yr,Owner
31-50,Male,Unknown,Unknown,Owner
Over 51,Male,Unknown,Unknown,Owner
Under 18,Male,Unknown,5-10yr,Owner
Unknown,Male,Unknown,Below 1yr,Owner
18-30,Female,Unknown,Below 1yr,Owner
18-30,Male,Unknown,5-10yr,Owner
18-30,Male,Unknown,5-10yr,Owner
18-30,Male,Unknown,5-10yr,Owner
18-30,Male,Unknown,5-10yr,Owner
18-30,Male,Unknown,Below 1yr,Owner
18-30,Male,Unknown,5-10yr,Owner
31-50,Male,Unknown,Above 10yr,Owner
31-50,Male,Unknown,Above 10yr,Owner
Under 18,Male,Unknown,Above 10yr,Owner
Under 18,Male,Unknown,Above 10yr,Owner
Unknown,Male,Unknown,5-10yr,Owner
Unknown,Male,Unknown,5-10yr,Owner
Unknown,Female,Unknown,Unknown,Owner
Unknown,Male,Unknown,Unknown,Owner
18-30,Male,Unknown,Unknown,Owner
18-30,Male,Unknown,Unknown,Owner
31-50,Male,Unknown,5-10yr,Owner
31-50,Male,Unknown,Unknown,Owner
